timestamp,ip,path,status,bytes
2026-03-07T17:12:00Z,10.0.3.6,/checkout,301,2294
2026-03-04T20:12:00Z,10.0.3.6,/index.html,500,7326
2026-03-02T11:02:00Z,10.0.1.7,/checkout,404,3106
2026-03-02T20:12:00Z,10.0.3.15,/products/rice,301,7301
2026-03-07T18:55:00Z,10.0.1.21,/cart,200,5078
2026-03-07T10:18:00Z,10.0.3.11,/static/app.js,200,7620
2026-03-04T20:20:00Z,10.0.2.23,/cart,301,6609
2026-03-01T13:30:00Z,10.0.3.11,/api/search,200,8204
2026-03-06T03:39:00Z,10.0.0.5,/products,404,3335
2026-03-06T07:26:00Z,10.0.2.2,/products/rice,500,5500
2026-03-06T21:09:00Z,10.0.3.20,/checkout,200,7647
2026-03-03T01:20:00Z,10.0.1.12,/static/app.js,500,5804
2026-03-05T06:38:00Z,10.0.3.17,/api/search,200,7095
2026-03-02T17:38:00Z,10.0.3.22,/api/search,200,967
2026-03-06T15:21:00Z,10.0.1.8,/products,301,4656
2026-03-04T05:41:00Z,10.0.3.22,/index.html,404,4061
2026-03-07T22:38:00Z,10.0.1.7,/products,200,5010
2026-03-07T20:35:00Z,10.0.3.10,/index.html,200,7629
2026-03-02T20:05:00Z,10.0.3.22,/static/app.js,200,8141
2026-03-05T11:28:00Z,10.0.3.11,/static/app.js,500,6300
2026-03-06T22:37:00Z,10.0.2.13,/,200,4758
2026-03-07T22:30:00Z,10.0.1.21,/products,500,8989
2026-03-07T16:58:00Z,10.0.2.24,/api/search,200,6670
2026-03-02T07:29:00Z,10.0.3.15,/checkout,500,7515
2026-03-02T20:00:00Z,10.0.1.7,/,200,1566
2026-03-05T17:59:00Z,10.0.3.10,/static/app.js,500,3884
2026-03-04T00:28:00Z,10.0.3.20,/products/rice,200,2768
2026-03-05T05:20:00Z,10.0.2.1,/products/rice,200,3959
2026-03-05T02:27:00Z,10.0.0.5,/static/app.js,200,3061
2026-03-05T21:45:00Z,10.0.2.2,/cart,200,1411
